City,State,Metric,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
Houston,Texas,1unit attached,51455,3373,5.7,0.4
Indianapolis,Indiana,1unit attached,26394,2168,6.9,0.6
Irvine,California,1unit attached,15559,1749,19.1,2
Jacksonville,Florida,1unit attached,17401,2230,4.7,0.6
Jersey City,New Jersey,1unit attached,9564,1320,8.7,1.2
Las Vegas,Nevada,1unit attached,11516,1504,4.5,0.6
Lincoln,Nebraska,1unit attached,9889,1500,9,1.3
Long Beach,California,1unit attached,9748,1656,5.6,0.9
Los Angeles,California,1unit attached,86252,4223,6.1,0.3
Memphis,Tennessee,1unit attached,14646,1932,5,0.6
Mesa,Arizona,1unit attached,10989,1827,5.6,0.9
Miami,Florida,1unit attached,17845,2145,9.5,1.1
Milwaukee,Wisconsin,1unit attached,14729,1662,5.7,0.6
Minneapolis,Minnesota,1unit attached,8194,1337,4.4,0.7
New Orleans,Louisiana,1unit attached,24888,2625,13.1,1.4
New York,New York,1unit attached,226671,7121,6.7,0.2
Newark,New Jersey,1unit attached,8370,1421,7.7,1.2
Oakland,California,1unit attached,6770,1186,3.9,0.7
Omaha,Nebraska,1unit attached,7875,1212,4.4,0.7
Orlando,Florida,1unit attached,9021,1618,7.5,1.3
Philadelphia,Pennsylvania,1unit attached,393404,7545,58.7,1
Phoenix,Arizona,1unit attached,26665,2433,4.4,0.4
Pittsburgh,Pennsylvania,1unit attached,23033,2247,15,1.4
Plano,Texas,1unit attached,3591,928,3.4,0.9
Portland,Oregon,1unit attached,8906,1401,3.4,0.5
Riverside,California,1unit attached,3234,872,3.3,0.9
Sacramento,California,1unit attached,13170,1940,6.8,1
San Antonio,Texas,1unit attached,12934,1816,2.5,0.4
San Diego,California,1unit attached,45795,3015,8.9,0.6
San Francisco,California,1unit attached,54161,3084,14.4,0.8
San Jose,California,1unit attached,34096,2382,10.9,0.7
Santa Ana,California,1unit attached,5910,1095,7.9,1.4
Seattle,Washington,1unit attached,10972,1611,3.6,0.5
St. Paul,Minnesota,1unit attached,5632,1036,4.7,0.9
Stockton,California,1unit attached,8505,1556,8.4,1.6
Tampa,Florida,1unit attached,9296,1545,5.8,0.9
Tucson,Arizona,1unit attached,19168,2357,8.3,1
Tulsa,Oklahoma,1unit attached,4237,1117,2.3,0.6
Virginia Beach,Virginia,1unit attached,34414,2755,19.3,1.5
Washington,District of Columbia,1unit attached,74200,2951,25,1
Wichita,Kansas,1unit attached,7720,1595,4.6,0.9
Albuquerque,New Mexico,2 units,3519,957,1.5,0.4
Anaheim,California,2 units,1245,697,1.2,0.6
Anchorage,Alaska,2 units,5908,1272,5.2,1.1
Arlington,Texas,2 units,4661,1206,3.2,0.8
Atlanta,Georgia,2 units,5168,1095,2.3,0.5
Aurora,Colorado,2 units,2084,798,1.6,0.6
Austin,Texas,2 units,18613,2316,5.2,0.7
Bakersfield,California,2 units,3353,1088,2.8,0.9
Baltimore,Maryland,2 units,16070,2436,5.4,0.8
Boston,Massachusetts,2 units,35673,3097,12.8,1.1
Chicago,Illinois,2 units,179156,6283,15.1,0.5
Cincinnati,Ohio,2 units,13739,1838,8.5,1.1
Cleveland,Ohio,2 units,45409,3344,21.2,1.5
Colorado Springs,Colorado,2 units,3597,1017,2,0.6
Columbus,Ohio,2 units,15392,2181,4.2,0.6
Corpus Christi,Texas,2 units,3543,1109,2.8,0.9
Dallas,Texas,2 units,8454,1670,1.6,0.3
Denver,Colorado,2 units,7849,1621,2.7,0.6
Detroit,Michigan,2 units,31600,2641,8.8,0.7
El Paso,Texas,2 units,7326,1649,3.2,0.7
Fresno,California,2 units,6625,1310,3.9,0.8
Greensboro,North Carolina,2 units,2220,849,1.8,0.7
Henderson,Nevada,2 units,494,369,0.4,0.3
Houston,Texas,2 units,17959,2607,2,0.3
Indianapolis,Indiana,2 units,9554,1817,2.5,0.5
Irvine,California,2 units,875,611,1.1,0.7
Jacksonville,Florida,2 units,5212,1131,1.4,0.3
Jersey City,New Jersey,2 units,28325,2552,25.9,2.2
Las Vegas,Nevada,2 units,3011,867,1.2,0.3
Lincoln,Nebraska,2 units,4023,1030,3.6,0.9
Long Beach,California,2 units,5568,1249,3.2,0.7
Los Angeles,California,2 units,42631,3304,3,0.2
Memphis,Tennessee,2 units,7728,1391,2.6,0.5
Mesa,Arizona,2 units,2791,923,1.4,0.5
Miami,Florida,2 units,8639,1623,4.6,0.8
Milwaukee,Wisconsin,2 units,58909,3391,22.8,1.3
Minneapolis,Minnesota,2 units,19220,2506,10.4,1.3
New Orleans,Louisiana,2 units,27031,2415,14.2,1.3
New York,New York,2 units,453855,8843,13.5,0.3
Newark,New Jersey,2 units,19773,2316,18.2,1.9
Oakland,California,2 units,14309,1634,8.3,0.9
Omaha,Nebraska,2 units,2528,788,1.4,0.4
Orlando,Florida,2 units,2677,937,2.2,0.8
Philadelphia,Pennsylvania,2 units,57367,4331,8.6,0.7
Phoenix,Arizona,2 units,11097,1734,1.8,0.3
Pittsburgh,Pennsylvania,2 units,13090,1849,8.5,1.2
Plano,Texas,2 units,715,522,0.7,0.5
Portland,Oregon,2 units,11612,1770,4.4,0.7
Riverside,California,2 units,1892,678,1.9,0.7
Sacramento,California,2 units,4635,1045,2.4,0.5
San Antonio,Texas,2 units,12430,2134,2.4,0.4
San Diego,California,2 units,13279,1980,2.6,0.4
San Francisco,California,2 units,45061,3043,12,0.8
San Jose,California,2 units,7929,1456,2.5,0.5
Santa Ana,California,2 units,1726,671,2.3,0.9
Seattle,Washington,2 units,9223,1785,3,0.6
St. Paul,Minnesota,2 units,8765,1537,7.3,1.3
Stockton,California,2 units,1571,744,1.6,0.7
Tampa,Florida,2 units,3934,1020,2.5,0.6
Tucson,Arizona,2 units,6966,1586,3,0.7
Tulsa,Oklahoma,2 units,4349,1199,2.3,0.6
Virginia Beach,Virginia,2 units,2356,893,1.3,0.5
Washington,District of Columbia,2 units,9008,1377,3,0.5
Wichita,Kansas,2 units,5212,993,3.1,0.6
Albuquerque,New Mexico,3 or 4 units,16848,2068,7,0.9
Anaheim,California,3 or 4 units,10918,1591,10.2,1.4
Anchorage,Alaska,3 or 4 units,11457,1601,10.1,1.4
Arlington,Texas,3 or 4 units,7071,1497,4.8,1
Atlanta,Georgia,3 or 4 units,10521,1885,4.7,0.8
Aurora,Colorado,3 or 4 units,6561,1480,5.1,1.2
Austin,Texas,3 or 4 units,15679,2401,4.4,0.7
Bakersfield,California,3 or 4 units,10878,1850,9.2,1.5
Baltimore,Maryland,3 or 4 units,14972,2187,5,0.7
Boston,Massachusetts,3 or 4 units,72381,3521,26,1.3
Chicago,Illinois,3 or 4 units,197301,6702,16.6,0.6
Cincinnati,Ohio,3 or 4 units,21428,2761,13.3,1.7
Cleveland,Ohio,3 or 4 units,13663,1808,6.4,0.8
Colorado Springs,Colorado,3 or 4 units,8159,1530,4.5,0.8
Columbus,Ohio,3 or 4 units,35166,3293,9.5,0.9
Corpus Christi,Texas,3 or 4 units,8718,1493,7,1.2
Dallas,Texas,3 or 4 units,20286,2434,3.9,0.5
Denver,Colorado,3 or 4 units,10349,1682,3.6,0.6
Detroit,Michigan,3 or 4 units,9526,1481,2.6,0.4
El Paso,Texas,3 or 4 units,10216,1956,4.4,0.8
Fresno,California,3 or 4 units,13188,1968,7.8,1.1
Greensboro,North Carolina,3 or 4 units,5900,1206,4.7,0.9
Henderson,Nevada,3 or 4 units,5778,1343,5.1,1.2
Houston,Texas,3 or 4 units,36161,3480,4,0.4
Indianapolis,Indiana,3 or 4 units,21572,1994,5.7,0.5
Irvine,California,3 or 4 units,3466,1021,4.3,1.3
Jacksonville,Florida,3 or 4 units,15083,2027,4.1,0.6
Jersey City,New Jersey,3 or 4 units,15596,1971,14.2,1.7
Las Vegas,Nevada,3 or 4 units,20768,2409,8.2,0.9
Lincoln,Nebraska,3 or 4 units,4055,952,3.7,0.9
Long Beach,California,3 or 4 units,15172,2433,8.7,1.4
Los Angeles,California,3 or 4 units,82669,4661,5.8,0.3
Memphis,Tennessee,3 or 4 units,17073,2063,5.8,0.7
Mesa,Arizona,3 or 4 units,8722,1567,4.4,0.8
Miami,Florida,3 or 4 units,9590,1843,5.1,1
Milwaukee,Wisconsin,3 or 4 units,19431,2197,7.5,0.8
Minneapolis,Minnesota,3 or 4 units,7832,1474,4.2,0.8
New Orleans,Louisiana,3 or 4 units,18059,2293,9.5,1.2
New York,New York,3 or 4 units,356925,8420,10.6,0.3
Newark,New Jersey,3 or 4 units,29193,2474,26.8,2.2
Oakland,California,3 or 4 units,20415,2025,11.8,1.2
Omaha,Nebraska,3 or 4 units,4796,1034,2.7,0.6
Orlando,Florida,3 or 4 units,6702,1433,5.6,1.2
Philadelphia,Pennsylvania,3 or 4 units,41204,3336,6.1,0.5
Phoenix,Arizona,3 or 4 units,30064,3358,5,0.6
Pittsburgh,Pennsylvania,3 or 4 units,10542,1780,6.9,1.1
Plano,Texas,3 or 4 units,1529,567,1.5,0.5
Portland,Oregon,3 or 4 units,14126,2186,5.4,0.8
Riverside,California,3 or 4 units,3988,1240,4.1,1.2
Sacramento,California,3 or 4 units,11070,2096,5.8,1
San Antonio,Texas,3 or 4 units,19872,2425,3.8,0.5
San Diego,California,3 or 4 units,32926,2915,6.4,0.6
San Francisco,California,3 or 4 units,41222,3138,10.9,0.8
San Jose,California,3 or 4 units,17397,1775,5.6,0.6
Santa Ana,California,3 or 4 units,5282,1189,7,1.6
Seattle,Washington,3 or 4 units,12383,1844,4.1,0.6
St. Paul,Minnesota,3 or 4 units,3955,776,3.3,0.6
Stockton,California,3 or 4 units,6493,1300,6.4,1.2
Tampa,Florida,3 or 4 units,7452,1568,4.7,1
Tucson,Arizona,3 or 4 units,8890,1603,3.9,0.7
Tulsa,Oklahoma,3 or 4 units,10067,1725,5.4,0.9
Virginia Beach,Virginia,3 or 4 units,5735,1295,3.2,0.7
Washington,District of Columbia,3 or 4 units,21694,2157,7.3,0.7
Wichita,Kansas,3 or 4 units,7866,1214,4.7,0.7
Albuquerque,New Mexico,5 to 9 units,11099,2033,4.6,0.8
Anaheim,California,5 to 9 units,7958,1754,7.4,1.6
Anchorage,Alaska,5 to 9 units,7042,1660,6.2,1.5
Arlington,Texas,5 to 9 units,12088,1883,8.2,1.2
Atlanta,Georgia,5 to 9 units,17303,2310,7.7,1
Aurora,Colorado,5 to 9 units,10159,1900,7.9,1.5
Austin,Texas,5 to 9 units,23119,2435,6.5,0.7
Bakersfield,California,5 to 9 units,7788,1469,6.6,1.2
Baltimore,Maryland,5 to 9 units,16119,2133,5.4,0.7
Boston,Massachusetts,5 to 9 units,32274,3034,11.6,1.1
Chicago,Illinois,5 to 9 units,131110,6712,11,0.6
Cincinnati,Ohio,5 to 9 units,14766,1984,9.2,1.2
Cleveland,Ohio,5 to 9 units,10657,1566,5,0.7
Colorado Springs,Colorado,5 to 9 units,8296,1479,4.6,0.8
Columbus,Ohio,5 to 9 units,45753,3329,12.3,0.9
Corpus Christi,Texas,5 to 9 units,12475,2316,10,1.9
Dallas,Texas,5 to 9 units,59083,4176,11.5,0.8
Denver,Colorado,5 to 9 units,14142,1802,4.9,0.6
Detroit,Michigan,5 to 9 units,7830,1251,2.2,0.3
El Paso,Texas,5 to 9 units,13923,1952,6,0.8
Fresno,California,5 to 9 units,16912,2300,10,1.3
Greensboro,North Carolina,5 to 9 units,17278,2272,13.7,1.8
Henderson,Nevada,5 to 9 units,10446,1991,9.1,1.7
Houston,Texas,5 to 9 units,62170,4019,6.9,0.4
Indianapolis,Indiana,5 to 9 units,34196,2924,9,0.8
Irvine,California,5 to 9 units,7023,1736,8.6,2.1
Jacksonville,Florida,5 to 9 units,20223,2600,5.5,0.7
Jersey City,New Jersey,5 to 9 units,11601,1846,10.6,1.7
Las Vegas,Nevada,5 to 9 units,28267,3216,11.1,1.3
Lincoln,Nebraska,5 to 9 units,7471,1336,6.8,1.2
Long Beach,California,5 to 9 units,19062,2421,10.9,1.3
Los Angeles,California,5 to 9 units,120176,5510,8.5,0.4
Memphis,Tennessee,5 to 9 units,32118,2695,10.9,0.9
Mesa,Arizona,5 to 9 units,14270,2399,7.2,1.1
Miami,Florida,5 to 9 units,14401,1796,7.7,0.9
Milwaukee,Wisconsin,5 to 9 units,13905,1799,5.4,0.7
Minneapolis,Minnesota,5 to 9 units,6262,1295,3.4,0.7
New Orleans,Louisiana,5 to 9 units,7780,1486,4.1,0.8
New York,New York,5 to 9 units,234178,6785,6.9,0.2
Newark,New Jersey,5 to 9 units,9631,1504,8.8,1.3
Oakland,California,5 to 9 units,14115,2170,8.2,1.3
Omaha,Nebraska,5 to 9 units,11736,1753,6.6,1
Orlando,Florida,5 to 9 units,12721,2007,10.6,1.6
Philadelphia,Pennsylvania,5 to 9 units,24504,2812,3.7,0.4
Phoenix,Arizona,5 to 9 units,36268,3832,6,0.6
Pittsburgh,Pennsylvania,5 to 9 units,10254,1641,6.7,1
Plano,Texas,5 to 9 units,8703,1831,8.3,1.7
Portland,Oregon,5 to 9 units,13265,2033,5,0.8
Riverside,California,5 to 9 units,8561,1751,8.8,1.7
Sacramento,California,5 to 9 units,15022,2193,7.8,1.1
San Antonio,Texas,5 to 9 units,38422,3294,7.3,0.6
San Diego,California,5 to 9 units,50358,3548,9.8,0.7
San Francisco,California,5 to 9 units,40991,3650,10.9,1
San Jose,California,5 to 9 units,15442,2174,4.9,0.7
Santa Ana,California,5 to 9 units,5396,1374,7.2,1.7
Seattle,Washington,5 to 9 units,19615,2479,6.5,0.8
St. Paul,Minnesota,5 to 9 units,6458,1417,5.4,1.2
Stockton,California,5 to 9 units,5663,1263,5.6,1.2
Tampa,Florida,5 to 9 units,10582,1848,6.7,1.1
Tucson,Arizona,5 to 9 units,11822,2177,5.1,0.9
Tulsa,Oklahoma,5 to 9 units,18868,2373,10.1,1.3
Virginia Beach,Virginia,5 to 9 units,13087,1851,7.3,1
Washington,District of Columbia,5 to 9 units,19888,2501,6.7,0.8
Wichita,Kansas,5 to 9 units,7326,1524,4.3,0.9
Albuquerque,New Mexico,10 to 19 units,14486,2098,6,0.9
Anaheim,California,10 to 19 units,8368,1760,7.8,1.6
Anchorage,Alaska,10 to 19 units,6269,1304,5.5,1.2
Arlington,Texas,10 to 19 units,15606,2382,10.6,1.6
Atlanta,Georgia,10 to 19 units,19827,2337,8.8,1
Aurora,Colorado,10 to 19 units,14384,2153,11.2,1.6
Austin,Texas,10 to 19 units,50645,4189,14.3,1.2
Bakersfield,California,10 to 19 units,1973,772,1.7,0.6
Baltimore,Maryland,10 to 19 units,15970,2090,5.4,0.7
Boston,Massachusetts,10 to 19 units,25212,2669,9.1,1
Chicago,Illinois,10 to 19 units,51200,3478,4.3,0.3
Cincinnati,Ohio,10 to 19 units,18921,2808,11.7,1.7
Cleveland,Ohio,10 to 19 units,8307,1462,3.9,0.7
Colorado Springs,Colorado,10 to 19 units,13185,1805,7.3,1
Columbus,Ohio,10 to 19 units,33825,2913,9.1,0.8
Corpus Christi,Texas,10 to 19 units,4867,1452,3.9,1.2
Dallas,Texas,10 to 19 units,68400,4886,13.3,0.9
Denver,Colorado,10 to 19 units,24797,2606,8.7,0.9
Detroit,Michigan,10 to 19 units,9979,1661,2.8,0.5
El Paso,Texas,10 to 19 units,9227,1614,4,0.7
Fresno,California,10 to 19 units,8522,1983,5,1.2
Greensboro,North Carolina,10 to 19 units,14553,1886,11.6,1.5
Henderson,Nevada,10 to 19 units,3694,1050,3.2,0.9
Houston,Texas,10 to 19 units,133100,5641,14.7,0.6
Indianapolis,Indiana,10 to 19 units,26451,2911,6.9,0.8
Irvine,California,10 to 19 units,7213,1674,8.9,2
Jacksonville,Florida,10 to 19 units,29126,2792,7.9,0.7
Jersey City,New Jersey,10 to 19 units,6090,1105,5.6,1
Las Vegas,Nevada,10 to 19 units,18063,2313,7.1,0.9
Lincoln,Nebraska,10 to 19 units,7369,1238,6.7,1.1
Long Beach,California,10 to 19 units,18238,2061,10.5,1.2
Los Angeles,California,10 to 19 units,146128,6010,10.3,0.4
Memphis,Tennessee,10 to 19 units,20738,2350,7.1,0.8
Mesa,Arizona,10 to 19 units,16588,2462,8.4,1.2
Miami,Florida,10 to 19 units,11511,1537,6.1,0.8
Milwaukee,Wisconsin,10 to 19 units,9887,1556,3.8,0.6
Minneapolis,Minnesota,10 to 19 units,15323,2229,8.3,1.2
New Orleans,Louisiana,10 to 19 units,7511,1600,3.9,0.8
New York,New York,10 to 19 units,214264,6548,6.4,0.2
Newark,New Jersey,10 to 19 units,7854,1464,7.2,1.3
Oakland,California,10 to 19 units,13369,1905,7.7,1.1
Omaha,Nebraska,10 to 19 units,15610,1820,8.8,1
Orlando,Florida,10 to 19 units,20484,2244,17.1,1.9
Philadelphia,Pennsylvania,10 to 19 units,15348,2498,2.3,0.4
Phoenix,Arizona,10 to 19 units,53750,4145,8.9,0.7
Pittsburgh,Pennsylvania,10 to 19 units,7140,1273,4.6,0.8
Plano,Texas,10 to 19 units,10869,1856,10.3,1.7
Portland,Oregon,10 to 19 units,14721,2319,5.6,0.9
Riverside,California,10 to 19 units,6232,1579,6.4,1.6
Sacramento,California,10 to 19 units,12652,2049,6.6,1
San Antonio,Texas,10 to 19 units,47332,3689,9,0.7
San Diego,California,10 to 19 units,42284,3641,8.2,0.7
San Francisco,California,10 to 19 units,36886,3222,9.8,0.9
San Jose,California,10 to 19 units,15986,2136,5.1,0.7
Santa Ana,California,10 to 19 units,6699,1278,8.9,1.7
Seattle,Washington,10 to 19 units,25485,2949,8.4,1
St. Paul,Minnesota,10 to 19 units,10190,1552,8.5,1.3
Stockton,California,10 to 19 units,4300,1041,4.3,1
Tampa,Florida,10 to 19 units,15074,2097,9.5,1.3
Tucson,Arizona,10 to 19 units,18127,2642,7.9,1.2
Tulsa,Oklahoma,10 to 19 units,14834,2261,7.9,1.2
Virginia Beach,Virginia,10 to 19 units,8110,1461,4.6,0.8
Washington,District of Columbia,10 to 19 units,31256,2901,10.5,1
Wichita,Kansas,10 to 19 units,8847,1602,5.2,0.9
Albuquerque,New Mexico,20 or more units,20856,2235,8.7,0.9
Anaheim,California,20 or more units,18270,2021,17,1.8
Anchorage,Alaska,20 or more units,9202,1417,8.1,1.3
Arlington,Texas,20 or more units,12523,2075,8.5,1.4
Atlanta,Georgia,20 or more units,69813,3754,31,1.3
Aurora,Colorado,20 or more units,15931,1612,12.4,1.2
Austin,Texas,20 or more units,66247,4410,18.7,1.2
Bakersfield,California,20 or more units,5260,1022,4.4,0.9
Baltimore,Maryland,20 or more units,34255,2619,11.5,0.9
Boston,Massachusetts,20 or more units,64585,3268,23.2,1.1
Chicago,Illinois,20 or more units,284562,7270,23.9,0.6
Cincinnati,Ohio,20 or more units,20038,2020,12.4,1.2
Cleveland,Ohio,20 or more units,21499,2108,10,0.9
Colorado Springs,Colorado,20 or more units,17730,1845,9.8,1
Columbus,Ohio,20 or more units,34134,2569,9.2,0.7
Corpus Christi,Texas,20 or more units,9235,1613,7.4,1.3
Dallas,Texas,20 or more units,99588,4442,19.4,0.8
Denver,Colorado,20 or more units,76447,3631,26.7,1.3
Detroit,Michigan,20 or more units,38599,2432,10.7,0.7
El Paso,Texas,20 or more units,20586,2401,8.9,1
Fresno,California,20 or more units,11906,1625,7,1
Greensboro,North Carolina,20 or more units,8155,1411,6.5,1.1
Henderson,Nevada,20 or more units,4841,1046,4.2,0.9
Houston,Texas,20 or more units,187881,7004,20.8,0.8
Indianapolis,Indiana,20 or more units,27312,2516,7.2,0.6
Irvine,California,20 or more units,17060,2008,20.9,2.2
Jacksonville,Florida,20 or more units,37913,3123,10.3,0.8
Jersey City,New Jersey,20 or more units,30768,2198,28.1,1.9
Las Vegas,Nevada,20 or more units,19074,2268,7.5,0.8
Lincoln,Nebraska,20 or more units,12152,1635,11,1.5
Long Beach,California,20 or more units,30075,2782,17.3,1.3
Los Angeles,California,20 or more units,383824,9000,27,0.6
Memphis,Tennessee,20 or more units,18475,2471,6.3,0.8
Mesa,Arizona,20 or more units,13981,2023,7.1,1
Miami,Florida,20 or more units,75571,4105,40.2,1.7
Milwaukee,Wisconsin,20 or more units,37928,2316,14.7,0.9
Minneapolis,Minnesota,20 or more units,47075,2998,25.5,1.4
New Orleans,Louisiana,20 or more units,18681,2050,9.8,1.1
New York,New York,20 or more units,1563620,11372,46.4,0.3
Newark,New Jersey,20 or more units,20628,1923,18.9,1.6
Oakland,California,20 or more units,32357,2897,18.7,1.5
Omaha,Nebraska,20 or more units,17937,1835,10.1,1
Orlando,Florida,20 or more units,22991,2489,19.2,1.8
Philadelphia,Pennsylvania,20 or more units,81776,4350,12.2,0.6
Phoenix,Arizona,20 or more units,68071,4934,11.3,0.8
Pittsburgh,Pennsylvania,20 or more units,18669,1646,12.1,1.1
Plano,Texas,20 or more units,10572,1463,10,1.4
Portland,Oregon,20 or more units,47388,2845,18,1
Riverside,California,20 or more units,7873,1164,8.1,1.1
Sacramento,California,20 or more units,16087,1700,8.4,0.8
San Antonio,Texas,20 or more units,46053,3292,8.8,0.6
San Diego,California,20 or more units,92235,4257,17.9,0.7
San Francisco,California,20 or more units,93668,3407,24.9,0.9
San Jose,California,20 or more units,42678,3013,13.7,1
Santa Ana,California,20 or more units,13126,1674,17.5,2.1
Seattle,Washington,20 or more units,85102,4340,28.1,1.3
St. Paul,Minnesota,20 or more units,25578,2049,21.3,1.5
Stockton,California,20 or more units,8019,1308,8,1.3
Tampa,Florida,20 or more units,23308,2757,14.7,1.6
Tucson,Arizona,20 or more units,28252,2917,12.3,1.2
Tulsa,Oklahoma,20 or more units,14644,1823,7.8,1
Virginia Beach,Virginia,20 or more units,10043,1663,5.6,0.9
Washington,District of Columbia,20 or more units,104188,3706,35.1,1.2
Wichita,Kansas,20 or more units,12289,1580,7.3,0.9
Albuquerque,New Mexico,Mobile home,9597,1720,4,0.7
Anaheim,California,Mobile home,3955,903,3.7,0.8
Anchorage,Alaska,Mobile home,4112,928,3.6,0.8
Arlington,Texas,Mobile home,2996,1041,2,0.7
Atlanta,Georgia,Mobile home,1140,706,0.5,0.3
Aurora,Colorado,Mobile home,1920,554,1.5,0.4
Austin,Texas,Mobile home,4120,1280,1.2,0.4
Bakersfield,California,Mobile home,2625,887,2.2,0.7
