Metric,City,Estimate,Estimate Margin of Error,Group,Percent,Percent Margin of Error
"('Rental vacancy rate',)","Indianapolis city (balance), Indiana",8.3,±1.4,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Irvine city, California",5,±2.0,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Jacksonville city, Florida",12.9,±1.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Jersey City city, New Jersey",11.4,±2.3,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Las Vegas city, Nevada",12.2,±1.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Lincoln city, Nebraska",5.4,±1.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Long Beach city, California",7.3,±1.4,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Los Angeles city, California",5.5,±0.4,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Memphis city, Tennessee",16.5,±1.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Mesa city, Arizona",13.8,±2.4,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Miami city, Florida",10.7,±1.6,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Milwaukee city, Wisconsin",3.4,±1.0,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Minneapolis city, Minnesota",6.8,±1.6,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","New Orleans city, Louisiana",14.5,±2.0,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","New York city, New York",4.3,±0.2,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Newark city, New Jersey",10.2,±1.6,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Oakland city, California",7.7,±1.2,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Omaha city, Nebraska",7,±2.1,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Orlando city, Florida",10.1,±1.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Philadelphia city, Pennsylvania",7.3,±0.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Phoenix city, Arizona",13.2,±1.3,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Pittsburgh city, Pennsylvania",5.3,±1.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Plano city, Texas",10.6,±2.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Portland city, Oregon",3.5,±1.2,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Riverside city, California",10,±2.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Sacramento city, California",6.8,±1.5,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","San Antonio city, Texas",9.9,±1.2,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","San Diego city, California",5.1,±0.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","San Francisco city, California",4.4,±1.0,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","San Jose city, California",3.4,±1.0,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Santa Ana city, California",4.9,±1.8,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Seattle city, Washington",4,±0.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","St. Paul city, Minnesota",5.1,±1.7,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Stockton city, California",7.1,±2.0,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Tampa city, Florida",10.5,±2.1,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Tucson city, Arizona",10.8,±1.8,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Tulsa city, Oklahoma",11.2,±2.1,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Virginia Beach city, Virginia",3.4,±1.5,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Washington city, District of Columbia",9.5,±1.5,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Wichita city, Kansas",8.9,±2.2,housing_occupancy,(X),(X)
"('Total housing units',)","Albuquerque city, New Mexico","240,232","±2,039",units_in_structure,"240,232",(X)
"('Total housing units',)","Anaheim city, California","107,363","±3,666",units_in_structure,"107,363",(X)
"('Total housing units',)","Anchorage municipality, Alaska","113,111","±1,046",units_in_structure,"113,111",(X)
"('Total housing units',)","Arlington city, Texas","146,638","±3,785",units_in_structure,"146,638",(X)
"('Total housing units',)","Atlanta city, Georgia","225,203","±5,823",units_in_structure,"225,203",(X)
"('Total housing units',)","Aurora city, Colorado","128,354","±2,849",units_in_structure,"128,354",(X)
"('Total housing units',)","Austin city, Texas","354,988","±5,209",units_in_structure,"354,988",(X)
"('Total housing units',)","Bakersfield city, California","118,727","±3,473",units_in_structure,"118,727",(X)
"('Total housing units',)","Baltimore city, Maryland","296,584","±1,348",units_in_structure,"296,584",(X)
"('Total housing units',)","Boston city, Massachusetts","277,949","±3,571",units_in_structure,"277,949",(X)
"('Total housing units',)","Chicago city, Illinois","1,189,053","±7,086",units_in_structure,"1,189,053",(X)
"('Total housing units',)","Cincinnati city, Ohio","161,201","±4,812",units_in_structure,"161,201",(X)
"('Total housing units',)","Cleveland city, Ohio","214,220","±4,327",units_in_structure,"214,220",(X)
"('Total housing units',)","Colorado Springs city, Colorado","180,535","±2,463",units_in_structure,"180,535",(X)
"('Total housing units',)","Columbus city, Ohio","370,544","±4,111",units_in_structure,"370,544",(X)
"('Total housing units',)","Corpus Christi city, Texas","124,620","±1,582",units_in_structure,"124,620",(X)
"('Total housing units',)","Dallas city, Texas","514,372","±6,971",units_in_structure,"514,372",(X)
"('Total housing units',)","Denver city, Colorado","285,859","±1,895",units_in_structure,"285,859",(X)
"('Total housing units',)","Detroit city, Michigan","360,675","±4,953",units_in_structure,"360,675",(X)
"('Total housing units',)","El Paso city, Texas","230,485","±1,937",units_in_structure,"230,485",(X)
"('Total housing units',)","Fresno city, California","169,426","±3,450",units_in_structure,"169,426",(X)
"('Total housing units',)","Greensboro city, North Carolina","125,702","±2,979",units_in_structure,"125,702",(X)
"('Total housing units',)","Henderson city, Nevada","114,295","±3,755",units_in_structure,"114,295",(X)
"('Total housing units',)","Houston city, Texas","902,745","±7,429",units_in_structure,"902,745",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","380,859","±2,715",units_in_structure,"380,859",(X)
"('Total housing units',)","Irvine city, California","81,468","±2,980",units_in_structure,"81,468",(X)
"('Total housing units',)","Jacksonville city, Florida","368,037","±4,746",units_in_structure,"368,037",(X)
"('Total housing units',)","Jersey City city, New Jersey","109,573","±2,820",units_in_structure,"109,573",(X)
"('Total housing units',)","Las Vegas city, Nevada","253,903","±5,307",units_in_structure,"253,903",(X)
"('Total housing units',)","Lincoln city, Nebraska","110,486","±1,458",units_in_structure,"110,486",(X)
"('Total housing units',)","Long Beach city, California","174,236","±4,764",units_in_structure,"174,236",(X)
"('Total housing units',)","Los Angeles city, California","1,421,938","±10,327",units_in_structure,"1,421,938",(X)
"('Total housing units',)","Memphis city, Tennessee","293,845","±3,302",units_in_structure,"293,845",(X)
"('Total housing units',)","Mesa city, Arizona","197,039","±5,268",units_in_structure,"197,039",(X)
"('Total housing units',)","Miami city, Florida","188,150","±6,255",units_in_structure,"188,150",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","258,694","±3,433",units_in_structure,"258,694",(X)
"('Total housing units',)","Minneapolis city, Minnesota","184,814","±3,848",units_in_structure,"184,814",(X)
"('Total housing units',)","New Orleans city, Louisiana","190,154","±1,837",units_in_structure,"190,154",(X)
"('Total housing units',)","New York city, New York","3,370,647","±4,509",units_in_structure,"3,370,647",(X)
"('Total housing units',)","Newark city, New Jersey","108,907","±3,620",units_in_structure,"108,907",(X)
"('Total housing units',)","Oakland city, California","172,774","±3,879",units_in_structure,"172,774",(X)
"('Total housing units',)","Omaha city, Nebraska","178,149","±1,792",units_in_structure,"178,149",(X)
"('Total housing units',)","Orlando city, Florida","119,552","±4,003",units_in_structure,"119,552",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","670,022","±4,073",units_in_structure,"670,022",(X)
"('Total housing units',)","Phoenix city, Arizona","601,370","±7,751",units_in_structure,"601,370",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","153,756","±3,447",units_in_structure,"153,756",(X)
"('Total housing units',)","Plano city, Texas","105,307","±2,905",units_in_structure,"105,307",(X)
"('Total housing units',)","Portland city, Oregon","263,890","±2,884",units_in_structure,"263,890",(X)
"('Total housing units',)","Riverside city, California","97,695","±4,133",units_in_structure,"97,695",(X)
"('Total housing units',)","Sacramento city, California","192,372","±4,968",units_in_structure,"192,372",(X)
"('Total housing units',)","San Antonio city, Texas","525,799","±4,754",units_in_structure,"525,799",(X)
"('Total housing units',)","San Diego city, California","514,366","±6,961",units_in_structure,"514,366",(X)
"('Total housing units',)","San Francisco city, California","376,777","±1,401",units_in_structure,"376,777",(X)
"('Total housing units',)","San Jose city, California","312,541","±4,703",units_in_structure,"312,541",(X)
"('Total housing units',)","Santa Ana city, California","74,972","±2,694",units_in_structure,"74,972",(X)
"('Total housing units',)","Seattle city, Washington","302,514","±6,008",units_in_structure,"302,514",(X)
"('Total housing units',)","St. Paul city, Minnesota","120,250","±2,543",units_in_structure,"120,250",(X)
"('Total housing units',)","Stockton city, California","100,835","±2,732",units_in_structure,"100,835",(X)
"('Total housing units',)","Tampa city, Florida","158,988","±3,986",units_in_structure,"158,988",(X)
"('Total housing units',)","Tucson city, Arizona","230,047","±4,064",units_in_structure,"230,047",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,281","±2,560",units_in_structure,"187,281",(X)
"('Total housing units',)","Virginia Beach city, Virginia","178,117",±840,units_in_structure,"178,117",(X)
"('Total housing units',)","Washington city, District of Columbia","296,836",±63,units_in_structure,"296,836",(X)
"('Total housing units',)","Wichita city, Kansas","169,058","±1,897",units_in_structure,"169,058",(X)
"('1-unit, detached',)","Albuquerque city, New Mexico","151,311","±3,955",units_in_structure,63.00%,±1.6
"('1-unit, detached',)","Anaheim city, California","47,059","±2,566",units_in_structure,43.80%,±2.0
"('1-unit, detached',)","Anchorage municipality, Alaska","52,770","±2,532",units_in_structure,46.70%,±2.3
"('1-unit, detached',)","Arlington city, Texas","87,864","±3,716",units_in_structure,59.90%,±2.1
"('1-unit, detached',)","Atlanta city, Georgia","89,859","±4,389",units_in_structure,39.90%,±1.6
"('1-unit, detached',)","Aurora city, Colorado","65,376","±2,767",units_in_structure,50.90%,±1.8
"('1-unit, detached',)","Austin city, Texas","163,528","±4,540",units_in_structure,46.10%,±1.0
"('1-unit, detached',)","Bakersfield city, California","83,956","±3,412",units_in_structure,70.70%,±2.0
"('1-unit, detached',)","Baltimore city, Maryland","42,056","±2,893",units_in_structure,14.20%,±1.0
"('1-unit, detached',)","Boston city, Massachusetts","30,759","±2,136",units_in_structure,11.10%,±0.7
"('1-unit, detached',)","Chicago city, Illinois","298,594","±7,946",units_in_structure,25.10%,±0.6
"('1-unit, detached',)","Cincinnati city, Ohio","61,778","±3,363",units_in_structure,38.30%,±1.9
"('1-unit, detached',)","Cleveland city, Ohio","100,264","±4,227",units_in_structure,46.80%,±1.6
"('1-unit, detached',)","Colorado Springs city, Colorado","109,218","±3,055",units_in_structure,60.50%,±1.6
"('1-unit, detached',)","Columbus city, Ohio","166,785","±4,800",units_in_structure,45.00%,±1.3
"('1-unit, detached',)","Corpus Christi city, Texas","80,132","±2,920",units_in_structure,64.30%,±2.1
"('1-unit, detached',)","Dallas city, Texas","229,240","±5,433",units_in_structure,44.60%,±0.9
"('1-unit, detached',)","Denver city, Colorado","127,299","±3,722",units_in_structure,44.50%,±1.3
"('1-unit, detached',)","Detroit city, Michigan","235,616","±4,938",units_in_structure,65.30%,±1.1
"('1-unit, detached',)","El Paso city, Texas","152,543","±3,866",units_in_structure,66.20%,±1.6
"('1-unit, detached',)","Fresno city, California","101,795","±3,103",units_in_structure,60.10%,±1.7
"('1-unit, detached',)","Greensboro city, North Carolina","67,950","±3,283",units_in_structure,54.10%,±2.2
"('1-unit, detached',)","Henderson city, Nevada","78,097","±3,857",units_in_structure,68.30%,±2.5
"('1-unit, detached',)","Houston city, Texas","404,176","±6,138",units_in_structure,44.80%,±0.6
"('1-unit, detached',)","Indianapolis city (balance), Indiana","229,699","±4,688",units_in_structure,60.30%,±1.2
"('1-unit, detached',)","Irvine city, California","29,262","±1,892",units_in_structure,35.90%,±2.4
"('1-unit, detached',)","Jacksonville city, Florida","224,914","±5,563",units_in_structure,61.10%,±1.3
"('1-unit, detached',)","Jersey City city, New Jersey","7,606","±1,471",units_in_structure,6.90%,±1.4
"('1-unit, detached',)","Las Vegas city, Nevada","149,194","±4,731",units_in_structure,58.80%,±1.5
"('1-unit, detached',)","Lincoln city, Nebraska","63,240","±2,368",units_in_structure,57.20%,±2.0
"('1-unit, detached',)","Long Beach city, California","74,642","±2,754",units_in_structure,42.80%,±1.5
"('1-unit, detached',)","Los Angeles city, California","551,262","±8,409",units_in_structure,38.80%,±0.6
"('1-unit, detached',)","Memphis city, Tennessee","180,307","±4,229",units_in_structure,61.40%,±1.4
"('1-unit, detached',)","Mesa city, Arizona","102,169","±3,825",units_in_structure,51.90%,±1.8
"('1-unit, detached',)","Miami city, Florida","49,935","±3,807",units_in_structure,26.50%,±1.7
"('1-unit, detached',)","Milwaukee city, Wisconsin","102,337","±3,602",units_in_structure,39.60%,±1.4
"('1-unit, detached',)","Minneapolis city, Minnesota","80,589","±2,923",units_in_structure,43.60%,±1.5
"('1-unit, detached',)","New Orleans city, Louisiana","83,959","±3,238",units_in_structure,44.20%,±1.6
"('1-unit, detached',)","New York city, New York","314,225","±7,115",units_in_structure,9.30%,±0.2
"('1-unit, detached',)","Newark city, New Jersey","13,358","±1,772",units_in_structure,12.30%,±1.7
"('1-unit, detached',)","Oakland city, California","71,059","±3,025",units_in_structure,41.10%,±1.6
"('1-unit, detached',)","Omaha city, Nebraska","115,773","±2,923",units_in_structure,65.00%,±1.5
"('1-unit, detached',)","Orlando city, Florida","44,956","±2,943",units_in_structure,37.60%,±2.3
"('1-unit, detached',)","Philadelphia city, Pennsylvania","55,482","±3,827",units_in_structure,8.30%,±0.6
"('1-unit, detached',)","Phoenix city, Arizona","357,173","±6,276",units_in_structure,59.40%,±0.8
"('1-unit, detached',)","Pittsburgh city, Pennsylvania","70,486","±2,693",units_in_structure,45.80%,±1.7
"('1-unit, detached',)","Plano city, Texas","68,098","±2,500",units_in_structure,64.70%,±2.2
"('1-unit, detached',)","Portland city, Oregon","149,366","±3,793",units_in_structure,56.60%,±1.3
"('1-unit, detached',)","Riverside city, California","63,771","±2,957",units_in_structure,65.30%,±2.2
"('1-unit, detached',)","Sacramento city, California","116,996","±4,058",units_in_structure,60.80%,±1.8
"('1-unit, detached',)","San Antonio city, Texas","341,091","±5,064",units_in_structure,64.90%,±0.9
"('1-unit, detached',)","San Diego city, California","230,512","±5,454",units_in_structure,44.80%,±0.9
"('1-unit, detached',)","San Francisco city, California","64,290","±3,682",units_in_structure,17.10%,±1.0
"('1-unit, detached',)","San Jose city, California","168,149","±4,380",units_in_structure,53.80%,±1.2
"('1-unit, detached',)","Santa Ana city, California","33,164","±1,885",units_in_structure,44.20%,±2.1
"('1-unit, detached',)","Seattle city, Washington","138,309","±4,660",units_in_structure,45.70%,±1.3
"('1-unit, detached',)","St. Paul city, Minnesota","59,238","±2,633",units_in_structure,49.30%,±2.0
"('1-unit, detached',)","Stockton city, California","65,374","±3,003",units_in_structure,64.80%,±2.3
"('1-unit, detached',)","Tampa city, Florida","86,506","±3,623",units_in_structure,54.40%,±2.0
